id,cms_ref,box_office_ref,slug,title,genre,presented_by,description,age_restriction,age_numeric,content_warnings,cancelled,dates_display,starting_date,ending_date,duration_mins,has_various_times,performance_count,cancelled_count,sold_out_count,first_performance,last_performance,is_free,is_pwyw,has_two_for_one,has_preview,price_min_gbp,price_max_gbp,price_types,venue_name,venue_slug,space_name,venue_code,wheelchair_access,wheelchair_toilets,audio_enhancement,bsl_interpreted,captioned,url_instagram,url_website,url_twitter,url_tiktok,thumbnail_url,lat,lng
919,20260BCBEFO,20260BCBEFO_CNB,0-bc-before-crisis,0 BC: Before Crisis,COMEDY,Liam Jackson,"Come join one of Edinburgh's most exciting new comedians for an extended set of laughter! Liam Jackson brings a hilarious show to this year's Fringe, documenting his precarious experiences in the increasingly dire world of work and being broke in cost-of-living crisis times. Expect biting observations from unemployment to Scottish culture, and personal anecdotes on travel and relationships, that are in equal parts sincere and hysterical! Liam regularly performs stand-up around Scotland. 'Jokes, material and great delivery. Big laughs throughout. Also. Funny!' (The Stand Comedy Club). 'Definitely a comedian I'd like to see more of' (One4Review.co.uk).",EIGHTEEN,18.0,Strong language/swearing,False,6 - 30 Aug,2026-08-06T19:45:00.000Z,2026-08-30T19:45:00.000Z,50,False,24,0,0,2026-08-06T19:45:00.000Z,2026-08-30T19:45:00.000Z,False,True,False,False,5.0,12.5,,Flight Club at Laughing Horse @ West Port Oracle,,Flight Club,75,False,False,False,False,False,https://www.instagram.com/liam_jackson50/,,,,,55.9533,-3.1883
829,20260BRITIT,20260BRITIT_CLD,0-british-afternoons-an-irish-stand-up-comedy-show,0% British – Afternoons: An Irish Stand-Up Comedy Show,COMEDY,Irish stand-up comedians,"Three Irish headliners. Zero Brits. All the craic. Join us for an afternoon of sharp, witty stand-up comedy straight from Ireland.",SIXTEEN,16.0,"Audience participation, Contains distressing or potentially triggering themes, Strong language/swearing",False,2 - 31 Aug,2026-08-02T15:45:00.000Z,2026-08-31T15:45:00.000Z,50,False,30,0,0,2026-08-02T15:45:00.000Z,2026-08-31T15:45:00.000Z,False,True,False,False,,,,Alchemist Cocktail Bar and Restaurant,alchemist-cocktail-bar-and-restaurant,The Parlour,409,False,True,False,False,False,,,,,http://registration.edfringe.com/resource/image/3dee06da-0232-4622-861a-e7d621096d3a,55.9531,-3.1932
843,20260BRITIU,20260BRITIU_CLD,0-british-evenings-an-irish-stand-up-comedy-show,0% British – Evenings: An Irish Stand-Up Comedy Show,COMEDY,Irish stand-up comedians,Warning: absolutely no British comedians were involved in this show. Three Irish headliners take to the late-night stage for an unmissable evening of no-holds-barred stand-up.,EIGHTEEN,18.0,"Audience participation, Contains distressing or potentially triggering themes, Strong language/swearing",False,2 - 31 Aug,2026-08-02T20:45:00.000Z,2026-08-31T20:45:00.000Z,50,False,30,0,0,2026-08-02T20:45:00.000Z,2026-08-31T20:45:00.000Z,False,True,False,False,,,,Alchemist Cocktail Bar and Restaurant,alchemist-cocktail-bar-and-restaurant,The Parlour,409,False,True,False,False,False,,,,,http://registration.edfringe.com/resource/image/a3169823-661e-4db0-a22f-515513ff71f8,55.9531,-3.1932
9438,20260BRITIS,20260BRITIS_CNI,0-british-mornings-an-irish-stand-up-comedy-show,0% British – Mornings: An Irish Stand-Up Comedy Show,COMEDY,Irish stand-up comedians,Three Irish headliners bring their A-game for a morning of stand-up comedy that's 100% Irish and 100% brilliant. Not a single British comedian in sight.,FOURTEEN,14.0,"Audience participation, Contains distressing or potentially triggering themes, Strong language/swearing",False,7 - 31 Aug,2026-08-07T10:10:00.000Z,2026-08-31T10:10:00.000Z,50,False,25,0,0,2026-08-07T10:10:00.000Z,2026-08-31T10:10:00.000Z,False,True,False,False,,,,Hoots @ The Apex,hoots-the-apex,Hoot 2,108,True,False,False,False,False,,,,,http://registration.edfringe.com/resource/image/01a78b62-b8c7-41e1-83f2-85549da26a64,55.9449,-3.2002
19911,20260FAITHF,20260FAITHF_K6,0-faithful-can-you-solve-the-traitors-murders,0% Faithful: Can You Solve The Traitors Murders?,COMEDY,Tommy Jollyboat / PBH’s Free Fringe,"The ultimate game of Betrayers and Innocents has been pulled off-air after a real-life murder... YOU are the detective in this high-tech immersive murder mystery! Use your phone to guide the investigation, and choose which suspects and clues to follow up. Inspired by choose your own adventures and escape rooms, made for fans of The Traitors and Agatha Christie, this is a show unlike anything you've seen before! Bring a smartphone. Praise for previous shows: 'Hilarious gags' ***** (ThreeWeeks). ***** (BroadwayBaby.com), ***** (InformedEdinburgh.co.uk), ***** (GeekChocolate.co.uk), ***** (TheSphinx.co.uk).",EIGHTEEN,18.0,Audience participation,False,8 - 30 Aug,2026-08-08T16:15:00.000Z,2026-08-30T16:15:00.000Z,50,False,23,0,0,2026-08-08T16:15:00.000Z,2026-08-30T16:15:00.000Z,True,False,False,False,,,FREE,PBH's Free Fringe @ Voodoo Rooms,pbh-s-free-fringe-voodoo-rooms,Speakeasy,68b,False,False,False,False,False,,https://ybox.uk/,,,http://registration.edfringe.com/resource/image/569a0367-a0b4-4df4-973b-f4fef3f2f5be,55.9527,-3.1942
849,20260PLANSS,20260PLANSS_CLD,0-plans-a-crowd-work-comedy-show,0 Plans: A Crowd Work Comedy Show,COMEDY,Reece Kidd and Friends,"A crowd-work and improvised stand-up comedy show with zero plans. Northern Irish comedian Reece Kidd and friends will entertain you and make you laugh. Reece has over 150 million views on Instagram. 0 Plans had a sold-out run at the Edinburgh Fringe in 2023, 2024 and 2025 with 50+ five-star audience reviews.",FOURTEEN,14.0,"Audience participation, Contains distressing or potentially triggering themes, Strong language/swearing",False,2 - 31 Aug,2026-08-02T17:00:00.000Z,2026-08-31T17:00:00.000Z,50,False,30,0,0,2026-08-02T17:00:00.000Z,2026-08-31T17:00:00.000Z,False,True,False,False,,,,Alchemist Cocktail Bar and Restaurant,alchemist-cocktail-bar-and-restaurant,The Parlour,409,False,True,False,False,False,,,,,http://registration.edfringe.com/resource/image/81be69c5-4e40-4e4c-bc97-c197383041c1,55.9531,-3.1932
4974,20260SHAME1,20260SHAME1_CZ1,0-shame-100-irish,"0% Shame, 100% Irish!",COMEDY,James Downey / PBH's Free Fringe,"Irish comedian James Downey blends pun-tastic wit, sharp crowd work and a splash of musical comedy in a high-energy performance exploring working-class Belfast, Irish music and his chaotic family. Fast, fearless and brutally honest, James explores growing up loud and trying to fix himself without breaking the bank.",EIGHTEEN,18.0,None,False,8 - 30 Aug,2026-08-08T21:45:00.000Z,2026-08-30T21:45:00.000Z,50,False,20,0,0,2026-08-08T21:45:00.000Z,2026-08-30T21:45:00.000Z,True,False,False,False,,,FREE,PBH's Free Fringe @ Canons' Gait,pbh-s-free-fringe-canons-gait,Lower,78,False,True,False,False,False,https://www.instagram.com/jamesdowneycomedy/,https://www.jamesdowney.org,,https://www.tiktok.com/tag/jamesdowney,http://registration.edfringe.com/resource/image/bbfe65a6-786c-44a0-8376-e0d1f3c2c6c0,55.9502,-3.1799
996,20260SHAMEA,20260SHAMEA_CEO,0-shame-a-late-night-comedy-show-at-lunchtime,0% Shame: A Late Night Comedy Show at Lunchtime,COMEDY,#1ABCOMEDY / Laughing Horse,A dark and dirty comedy show at lunchtime for people who like their comedy obscene but their evenings free. Perfect for current and reformed hedonists and anyone who wants their depravity served before sunset so they can make even worse decisions later. Come laugh with three professional headliners and reach moral decay before 5pm.,SIXTEEN,16.0,"Audience participation, Contains distressing or potentially triggering themes, Scenes of a sexual nature, Strong language/swearing",False,6 - 30 Aug,2026-08-06T13:30:00.000Z,2026-08-30T13:30:00.000Z,60,False,22,0,0,2026-08-06T13:30:00.000Z,2026-08-30T13:30:00.000Z,True,False,False,False,,,FREE,Laughing Horse @ West Nic Records,laughing-horse-west-nic-records,Little Cellar,442,False,False,False,False,False,,,,,http://registration.edfringe.com/resource/image/4af1c611-5c28-4f9f-b432-99bab312ae2c,55.947,-3.1938
7536,20260CHANCE,20260CHANCE_CNM,0-to-2-mph-in-under-60-minutes,0 to 2 mph In Under 60 Minutes,COMEDY,Ridwan Hussain and Oliver Moore,"Zoom zoom zoom! The boys are back! Last year was their first sell out run, now they're taking it for granted. With new accolades: Chortle Student Finalist and Hastings Comedian of the Year Oliver Moore is back with Ricky Gervais' Dutch Barn Spirit of Comedy Finalist and BBC New Comedy Award-shortlisted Ridwan Hussain for another split bill of stand-up. It's better than the rest, find out why we did so well last year with this new hour of comedy. If we sell out again, it's really gonna go to my head.",SIXTEEN,16.0,Strong language/swearing,False,7 - 31 Aug,2026-08-07T20:00:00.000Z,2026-08-31T20:00:00.000Z,60,False,25,0,0,2026-08-07T20:00:00.000Z,2026-08-31T20:00:00.000Z,False,True,False,False,3.0,15.0,,Hoots @ The Apex,hoots-the-apex,Hoot 6,108,True,False,False,False,False,https://www.instagram.com/ridwanhussaincomedy/,,,https://www.tiktok.com/@ridwanhussaincomedy,http://registration.edfringe.com/resource/image/99483856-34e1-4aca-87e2-bfcc6f56e35b,55.9449,-3.2002
4791,2026TITSNTR,2026TITSNTR_V2,00-30-cabaret-o-clock-magic-vs-burlesque,00:30 Cabaret O'Clock: Magic vs Burlesque,CABARET,Arron Jones & Fou Fou Kaboom / PBH's Free Fringe,"The perfect show to end your night! Burlesque or Magic: which is better? You decide! Pick a side and face off in this interactive party game show cabaret where it isn’t just the gloves that come off! Join genuine cabaret power couple, Rockstar Magician and Fou Fou Kaboom, to paint pictures with your pelvis or fight for your life in a high stakes thumb war to the death! Only one team can win – will it be tits or tricks? 
",EIGHTEEN,18.0,None,False,8 - 30 Aug,2026-08-08T23:30:00.000Z,2026-08-30T23:30:00.000Z,60,False,20,0,0,2026-08-08T23:30:00.000Z,2026-08-30T23:30:00.000Z,True,False,False,False,,,FREE,PBH's Free Fringe @ Voodoo Rooms,pbh-s-free-fringe-voodoo-rooms,Ballroom,68b,False,False,False,False,False,,,,,http://registration.edfringe.com/resource/image/0aeb4b04-7958-4de0-a62b-25f21cc1e237,55.9527,-3.1942
