venue_name,lat,lng
Alchemist Cocktail Bar and Restaurant,55.9531,-3.1932
Hoots @ The Apex,55.9449,-3.2002
PBH's Free Fringe @ Voodoo Rooms,55.9527,-3.1942
PBH's Free Fringe @ Canons' Gait,55.9502,-3.1799
Laughing Horse @ West Nic Records,55.947,-3.1938
Just The Tonic at The Caves,55.9483,-3.1883
Laughing Horse @ Kick Ass Cowgate,55.9471,-3.1897
Assembly Rooms,55.9527,-3.1919
Just The Tonic at The Mash House,55.9479,-3.1896
Laughing Horse @ The Three Sisters,55.9473,-3.1887
Laughing Horse @ The Hanover Tap,55.9528,-3.1953
Just The Tonic at The Hive,55.9469,-3.1906
Just The Tonic Nucleus,55.9491,-3.1884
Gilded Balloon Teviot,55.9448,-3.1895
Gilded Balloon Patter House,55.9451,-3.1925
Hoots @ Nicolson Square,55.9459,-3.1874
theSpace @ Symposium Hall,55.9448,-3.1868
Scottish Comedy Festival @ The Beehive Inn,55.9469,-3.193
theSpace @ Surgeons' Hall,55.9471,-3.1852
Hoots @ Hilton (Bread Street),55.9459,-3.2022
Laughing Horse @ City Cafe,55.9479,-3.1872
Laughing Horse @ Bar 50,55.9482,-3.1905
Laughing Horse @ The Counting House,55.9484,-3.1918
Laughing Horse @ Dropkick Murphys,55.9468,-3.1896
Greenside @ George Street,55.9522,-3.1958
ZOO Southside,55.9412,-3.185
ZOO Playground,55.9437,-3.1864
Pleasance Courtyard,55.9476,-3.1844
Pleasance Dome,55.9489,-3.1756
Greenside @ Riddles Court,55.9495,-3.1969
Assembly George Square Studios,55.9437,-3.1897
Summerhall,55.9406,-3.1847
Edinburgh Playhouse,55.9557,-3.1817
Flight Club at Laughing Horse @ West Port Oracle,55.9533,-3.1883
The Jazz Bar,55.9481208,-3.1869531
Edinburgh Photographic Society,55.9533,-3.1883
theSpaceTriplex,55.9533,-3.1883
The Royal Oak,55.9480679,-3.1861969
Laughing Horse @ The Pear Tree,55.9533,-3.1883
The Stand Comedy Club 2,55.9533,-3.1883
Scottish Comedy Festival @ Waverley Bar,55.9533,-3.1883
Assembly George Square,55.9533,-3.1883
PBH's Free Fringe @ Slow Progress Cafe and Records,55.9533,-3.1883
Argyle Cellar Bar,55.9533,-3.1883
"Underbelly, Cowgate",55.9533,-3.1883
Assembly Hall,55.9491898,-3.1948893
Laughing Horse @ The Raging Bull,55.9533,-3.1883
Assembly @ Dance Base,55.9533,-3.1883
Paradise in Augustines,55.9533,-3.1883
PBH's Free Fringe @ BrewDog Lothian Rd,55.9533,-3.1883
Meeting Point at Charlotte Square,55.9533,-3.1883
Laughing Horse @ Dragonfly,55.9533,-3.1883
Grand Hall at Braw Venues @ Grand Lodge,55.9533,-3.1883
Laughing Horse @ Home Bar,55.9533,-3.1883
